Team,Status,Team rating,CB,LB,RB,ST,CM,AM,LM,DM,LW,RW,RM,Rival team rating,CBr,LBr,RBr,STr,CMr,AMr,LMr,DMr,LWr,RWr,RMr,Result,Round,Team_encoded,Status_encoded
Man city,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,19,12,0
Brighton,Home,7.1,2,1,1,2,2,1,0,1,0,0,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Win,19,4,1
Tottenham,Guest,6.9,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,2,2,1,0,1,0,0,0,Lost,19,17,0
Arsenal,Home,6.9,2,1,1,1,3,0,0,0,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,19,0,1
West ham,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Win,19,18,0
Luton,Home,6.5,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,20,11,1
Chelsea,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.5,3,0,0,1,2,2,1,0,0,0,1,Win,20,6,0
Aston Villa,Home,7.3,2,1,1,1,2,1,1,0,0,0,1,6.4,2,1,1,2,2,0,1,0,0,0,1,Win,20,1,1
Burnley,Guest,6.4,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,1,2,1,1,0,0,0,1,Lost,20,5,0
Crystal palace,Home,7.8,2,1,1,1,3,0,0,0,1,1,0,6.5,3,0,0,2,3,0,1,0,0,0,1,Win,20,7,1
Brentford,Guest,6.5,3,0,0,2,3,0,1,0,0,0,1,7.8,2,1,1,1,3,0,0,0,1,1,0,Lost,20,3,0
Man city,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.3,3,1,1,2,3,0,0,0,0,0,0,Win,20,12,1
Sheffiled utd,Guest,6.3,3,1,1,2,3,0,0,0,0,0,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,20,16,0
Wolves,Home,7.4,3,0,0,1,2,2,1,0,0,0,1,6.4,3,1,1,1,2,0,1,0,0,0,1,Win,20,19,1
Everton,Guest,6.4,3,1,1,1,2,0,1,0,0,0,1,7.4,3,0,0,1,2,2,1,0,0,0,1,Lost,20,8,0
Nottm forest,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,20,15,1
Man utd,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,20,13,0
Fulham,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,3,0,0,0,1,1,0,Win,20,9,1
Arsenal,Guest,6.6,2,1,1,1,3,0,0,0,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,20,0,0
Tottenham,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,20,17,1
Bournemouth,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,20,2,0
Liverpool,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Win,20,10,1
Newcatle,Guest,6.9,2,1,1,1,3,0,0,0,1,1,0,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,20,14,0
West ham,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,2,0,0,0,2,1,1,0,Draw,20,18,1
Brighton,Guest,7.1,2,1,1,2,0,0,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Draw,20,4,0
Burnley,Home,7.0,2,1,1,2,2,0,1,0,0,0,1,7.2,3,0,0,1,2,2,1,0,0,0,1,Draw,21,5,1
Luton,Guest,7.2,3,0,0,1,2,2,1,0,0,0,1,7.0,2,1,1,2,2,0,1,0,0,0,1,Draw,21,11,0
Chelsea,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,21,6,1
Fulham,Guest,6.8,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,21,9,0
Newcatle,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,21,14,1
Man city,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Win,21,12,0
Everton,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,2,2,0,1,0,0,0,1,Draw,21,8,1
Aston Villa,Guest,6.9,2,1,1,2,2,0,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,21,1,0
Man utd,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,21,13,1
Tottenham,Guest,7.0,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,21,17,0
Arsenal,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.0,3,0,0,1,2,0,1,0,1,1,1,Win,21,0,1
Crystal palace,Guest,6.0,3,0,0,1,2,0,1,0,1,1,1,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,21,7,0
Brentford,Home,7.2,3,0,0,2,3,0,1,0,0,0,1,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,21,3,1
Nottm forest,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.2,3,0,0,2,3,0,1,0,0,0,1,Lost,21,15,0
Sheffiled utd,Home,7.0,2,1,1,1,3,0,1,0,0,0,1,6.9,2,1,1,2,2,0,1,0,0,0,1,Draw,21,16,1
West ham,Guest,6.9,2,1,1,2,2,0,1,0,0,0,1,7.0,2,1,1,1,3,0,1,0,0,0,1,Draw,21,18,0
Bournemouth,Home,6.2,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,21,2,1
Liverpool,Guest,7.7,2,1,1,1,3,0,0,0,1,1,0,6.2,2,1,1,1,0,1,0,2,1,1,0,Win,21,10,0
Brighton,Home,6.9,2,1,1,2,0,1,0,3,0,0,0,6.9,3,0,0,1,2,2,1,0,0,0,1,Draw,21,4,1
Wolves,Guest,6.9,3,0,0,1,2,2,1,0,0,0,1,6.9,2,1,1,2,0,1,0,3,0,0,0,Draw,21,19,0
Nottm forest,Home,6.4,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,22,15,1
Arsenal,Guest,7.4,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,22,0,0
Fulham,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,7.3,2,1,1,1,2,1,1,0,0,0,1,Draw,22,9,1
Everton,Guest,7.3,2,1,1,1,2,1,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,22,8,0
Luton,Home,7.7,3,0,0,1,2,2,1,0,0,0,1,6.1,3,0,0,2,2,1,1,0,0,0,1,Win,22,11,1
Brighton,Guest,6.1,3,0,0,2,2,1,1,0,0,0,1,7.7,3,0,0,1,2,2,1,0,0,0,1,Lost,22,4,0
Crystal palace,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,2,0,1,1,1,0,Win,22,7,1
Sheffiled utd,Guest,6.5,2,1,1,1,0,2,0,1,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,22,16,0
Aston Villa,Home,6.3,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,22,1,1
Newcatle,Guest,7.3,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,2,2,0,1,0,0,0,1,Win,22,14,0
Man city,Home,7.4,3,0,0,1,0,2,0,2,1,1,0,6.2,2,1,1,2,2,0,1,0,0,0,1,Win,22,12,1
Burnley,Guest,6.2,2,1,1,2,2,0,1,0,0,0,1,7.4,3,0,0,1,0,2,0,2,1,1,0,Lost,22,5,0
Tottenham,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.6,3,0,0,2,3,0,1,0,0,0,1,Win,22,17,1
Brentford,Guest,6.6,3,0,0,2,3,0,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,22,3,0
Liverpool,Home,7.5,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,1,0,1,0,2,1,1,0,Win,22,10,1
Chelsea,Guest,6.1,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,22,6,0
West ham,Home,7.1,2,1,1,1,0,2,0,3,0,0,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Draw,22,18,1
Bournemouth,Guest,6.8,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,2,0,3,0,0,0,Draw,22,2,0
Wolves,Home,6.9,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,22,19,1
Man utd,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,1,2,2,1,0,0,0,1,Win,22,13,0
Everton,Home,7.2,2,1,1,1,2,1,1,0,0,0,1,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,23,8,1
Tottenham,Guest,6.9,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,2,1,1,0,0,0,1,Draw,23,17,0
Brighton,Home,7.5,3,0,0,1,2,2,1,0,0,0,1,6.0,2,1,1,1,3,0,0,0,1,1,0,Win,23,4,1
Crystal palace,Guest,6.0,2,1,1,1,3,0,0,0,1,1,0,7.5,3,0,0,1,2,2,1,0,0,0,1,Lost,23,7,0
Burnley,Home,7.0,2,1,1,2,2,0,1,0,0,0,1,6.7,2,1,1,1,0,1,0,2,1,1,0,Draw,23,5,1
Fulham,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,2,2,0,1,0,0,0,1,Draw,23,9,0
Newcatle,Home,6.9,2,1,1,1,3,0,0,0,1,1,0,6.9,3,0,0,1,2,2,1,0,0,0,1,Draw,23,14,1
Luton,Guest,6.9,3,0,0,1,2,2,1,0,0,0,1,6.9,2,1,1,1,3,0,0,0,1,1,0,Draw,23,11,0
Sheffiled utd,Home,5.7,3,1,1,1,2,0,1,0,0,0,1,7.5,2,1,1,1,2,1,1,0,0,0,1,Lost,23,16,1
Aston Villa,Guest,7.5,2,1,1,1,2,1,1,0,0,0,1,5.7,3,1,1,1,2,0,1,0,0,0,1,Win,23,1,0
Nottm forest,Guest,6.9,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Draw,23,15,0
Bournemouth,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,23,2,1
Chelsea,Home,6.5,2,1,1,1,0,1,0,2,1,1,0,7.3,3,0,0,1,2,2,1,0,0,0,1,Lost,23,6,1
Wolves,Guest,7.3,3,0,0,1,2,2,1,0,0,0,1,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,23,19,0
Man utd,Home,7.6,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,23,13,1
West ham,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,23,18,0
Arsenal,Home,7.2,2,1,1,1,3,0,0,0,1,1,0,6.2,2,1,1,1,3,0,0,0,1,1,0,Win,23,0,1
Liverpool,Guest,6.2,2,1,1,1,3,0,0,0,1,1,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,23,10,0
Brentford,Home,6.6,3,0,0,2,3,0,1,0,0,0,1,7.8,2,1,1,1,0,2,0,1,1,1,0,Lost,23,3,1
Man city,Guest,7.8,2,1,1,1,0,2,0,1,1,1,0,6.6,3,0,0,2,3,0,1,0,0,0,1,Win,23,12,0
Man city,Home,7.4,3,0,0,1,0,2,0,2,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,24,12,1
Everton,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.4,3,0,0,1,0,2,0,2,1,1,0,Lost,24,8,0
Fulham,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,24,9,1
Bournemouth,Guest,6.4,2,1,1,1,0,1,0,2,1,1,0,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,24,2,0
Liverpool,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,2,2,0,1,0,0,0,1,Win,24,10,1
Burnley,Guest,6.4,2,1,1,2,2,0,1,0,0,0,1,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,24,5,0
Luton,Home,6.7,3,0,0,1,2,2,1,0,0,0,1,7.4,3,1,1,1,2,0,1,0,0,0,1,Lost,24,11,1
Sheffiled utd,Guest,7.4,3,1,1,1,2,0,1,0,0,0,1,6.7,3,0,0,1,2,2,1,0,0,0,1,Win,24,16,0
Tottenham,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,3,0,0,0,1,1,0,Win,24,17,1
Brighton,Guest,6.7,2,1,1,1,3,0,0,0,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,24,4,0
Wolves,Home,6.7,3,0,0,1,2,2,1,0,0,0,1,7.2,3,0,0,2,3,0,1,0,0,0,1,Lost,24,19,1
Brentford,Guest,7.2,3,0,0,2,3,0,1,0,0,0,1,6.7,3,0,0,1,2,2,1,0,0,0,1,Win,24,3,0
Nottm forest,Home,6.4,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,24,15,1
Newcatle,Guest,7.2,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,24,14,0
West ham,Home,5.5,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,24,18,1
Arsenal,Guest,7.5,2,1,1,1,3,0,0,0,1,1,0,5.5,2,1,1,1,0,1,0,2,1,1,0,Win,24,0,0
Aston Villa,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,24,1,1
Man utd,Guest,7.6,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,24,13,0
Crystal palace,Home,6.4,2,1,1,1,3,0,0,0,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,24,7,1
Chelsea,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,24,6,0
Brentford,Home,6.3,3,0,0,2,3,0,1,0,0,0,1,7.6,2,1,1,1,3,0,0,0,1,1,0,Lost,25,3,1
Liverpool,Guest,7.6,2,1,1,1,3,0,0,0,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,25,10,0
Burnley,Home,5.9,2,1,1,2,2,0,1,0,0,0,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,25,5,1
Arsenal,Guest,7.4,2,1,1,1,3,0,0,0,1,1,0,5.9,2,1,1,2,2,0,1,0,0,0,1,Win,25,0,0
Fulham,Home,6.3,2,1,1,1,0,1,0,2,1,1,0,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,25,9,1
Aston Villa,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,25,1,0
Newcatle,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,25,14,1
Bournemouth,Guest,7.0,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,25,2,0
Nottm forest,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,25,15,1
West ham,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,25,18,0
Tottenham,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.4,3,0,0,1,2,2,1,0,0,0,1,Lost,25,17,1
Wolves,Guest,7.4,3,0,0,1,2,2,1,0,0,0,1,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,25,19,0
Man city,Home,7.1,3,0,0,1,0,2,0,2,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,25,12,1
Chelsea,Guest,7.0,2,1,1,1,0,1,0,2,1,1,0,7.1,3,0,0,1,0,2,0,2,1,1,0,Draw,25,6,0
Sheffiled utd,Home,5.9,3,0,0,1,3,1,1,0,0,0,1,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,25,16,1
Brighton,Guest,7.6,2,1,1,1,0,1,0,2,1,1,0,5.9,3,0,0,1,3,1,1,0,0,0,1,Win,25,4,0
Luton,Home,7.0,3,0,0,1,2,2,1,0,0,0,1,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,25,11,1
Man utd,Guest,7.1,2,1,1,1,0,1,0,2,1,1,0,7.0,3,0,0,1,2,2,1,0,0,0,1,Win,25,13,0
Everton,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,3,0,0,1,2,2,1,0,0,0,1,Draw,25,8,1
Crystal palace,Guest,6.8,3,0,0,1,2,2,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Draw,25,7,0
Liverpool,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.3,3,0,0,1,2,2,1,0,0,0,1,Win,26,10,1
Luton,Guest,6.3,3,0,0,1,2,2,1,0,0,0,1,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,26,11,0
Aston Villa,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,6.1,2,1,1,1,0,1,0,2,1,1,0,Win,26,1,1
Nottm forest,Guest,6.1,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,26,15,0
Brighton,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Draw,26,4,1
Everton,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,26,8,0
Crystal palace,Home,7.5,3,0,0,1,2,2,1,0,0,0,1,6.0,2,1,1,2,2,0,1,0,0,0,1,Win,26,7,1
Burnley,Guest,6.0,2,1,1,2,2,0,1,0,0,0,1,7.5,3,0,0,1,2,2,1,0,0,0,1,Lost,26,5,0
Man utd,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,26,13,1
Fulham,Guest,7.5,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,26,9,0
Bournemouth,Home,6.7,2,1,1,1,0,1,0,2,1,1,0,7.2,3,0,0,1,0,2,0,2,1,1,0,Lost,26,2,1
Man city,Guest,7.2,3,0,0,1,0,2,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,26,12,0
Arsenal,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,1,3,0,0,0,1,1,0,Win,26,0,1
Newcatle,Guest,6.1,2,1,1,1,3,0,0,0,1,1,0,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,26,14,0
Wolves,Home,7.5,3,0,0,1,2,0,1,0,1,1,1,6.5,3,0,0,2,3,0,1,0,0,0,1,Win,26,19,1
Sheffiled utd,Guest,6.5,3,0,0,2,3,0,1,0,0,0,1,7.5,3,0,0,1,2,0,1,0,1,1,1,Lost,26,16,0
West ham,Home,7.6,2,1,1,1,0,1,0,2,1,1,0,6.6,3,0,0,2,3,0,1,0,0,0,1,Win,26,18,1
Brentford,Guest,6.6,3,0,0,2,3,0,1,0,0,0,1,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,26,3,0
Chelsea,Home,7.7,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,26,6,1
Tottenham,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,0,1,0,2,1,1,0,Lost,26,17,0
Brentford,Home,7.1,3,0,0,2,3,0,1,0,0,0,1,7.2,3,0,0,2,3,0,1,0,0,0,1,Draw,27,3,1
Chelsea,Guest,7.2,3,0,0,2,3,0,1,0,0,0,1,7.1,3,0,0,2,3,0,1,0,0,0,1,Draw,27,6,0
Everton,Home,6.4,2,1,1,1,2,1,1,0,0,0,1,7.7,2,1,1,1,0,1,0,2,1,1,0,Lost,27,8,1
West ham,Guest,7.7,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,2,1,1,0,0,0,1,Win,27,18,0
Fulham,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.4,3,0,0,1,2,2,1,0,0,0,1,Win,27,9,1
Brighton,Guest,6.4,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,27,4,0
Newcatle,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.3,3,0,0,1,2,0,1,0,1,1,1,Win,27,14,1
Wolves,Guest,6.3,3,0,0,1,2,0,1,0,1,1,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,27,19,0
Nottm forest,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,27,15,1
Liverpool,Guest,7.2,2,1,1,1,3,0,0,0,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,27,10,0
Tottenham,Home,7.7,2,1,1,1,0,1,0,2,1,1,0,6.3,3,0,0,1,2,2,1,0,0,0,1,Win,27,17,1
Crystal palace,Guest,6.3,3,0,0,1,2,2,1,0,0,0,1,7.7,2,1,1,1,0,1,0,2,1,1,0,Lost,27,7,0
Luton,Home,6.9,3,0,0,1,2,2,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Lost,27,11,1
Aston Villa,Guest,7.0,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,1,2,2,1,0,0,0,1,Win,27,1,0
Burnley,Home,6.5,2,1,1,2,2,0,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,27,5,1
Bournemouth,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,27,2,0
Man city,Home,7.6,3,0,0,1,0,2,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,27,12,1
Man utd,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.6,3,0,0,1,0,2,0,2,1,1,0,Lost,27,13,0
Sheffiled utd,Home,6.1,2,1,1,1,0,2,0,3,0,0,0,7.6,2,1,1,1,3,0,0,0,1,1,0,Lost,27,16,1
Arsenal,Guest,7.6,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,1,0,2,0,3,0,0,0,Win,27,0,0
Man utd,Home,7.5,2,1,1,1,2,1,1,0,0,0,1,6.7,2,1,1,1,2,1,1,0,0,0,1,Win,28,13,1
Everton,Guest,6.7,2,1,1,1,2,1,1,0,0,0,1,7.5,2,1,1,1,2,1,1,0,0,0,1,Lost,28,8,0
Bournemouth,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,3,0,0,2,3,0,1,0,0,0,1,Draw,28,2,1
Sheffiled utd,Guest,6.8,3,0,0,2,3,0,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Draw,28,16,0
Crystal palace,Home,7.1,3,0,0,1,2,2,1,0,0,0,1,6.6,3,0,0,1,2,2,1,0,0,0,1,Draw,28,7,1
Luton,Guest,6.6,3,0,0,1,2,2,1,0,0,0,1,7.1,3,0,0,1,2,2,1,0,0,0,1,Draw,28,11,0
Wolves,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,28,19,1
Fulham,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Lost,28,9,0
Arsenal,Home,7.2,2,1,1,1,3,0,0,0,1,1,0,6.4,3,0,0,2,3,0,1,0,0,0,1,Win,28,0,1
Brentford,Guest,6.4,3,0,0,2,3,0,1,0,0,0,1,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,28,3,0
Aston Villa,Home,5.9,3,1,1,2,3,0,0,0,0,0,0,7.7,2,1,1,1,0,1,0,2,1,1,0,Lost,28,1,1
Tottenham,Guest,7.7,2,1,1,1,0,1,0,2,1,1,0,5.9,3,1,1,2,3,0,0,0,0,0,0,Win,28,17,0
Brighton,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,28,4,1
Nottm forest,Guest,6.4,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Lost,28,15,0
West ham,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,2,2,0,1,0,0,0,1,Draw,28,18,1
Burnley,Guest,6.7,2,1,1,2,2,0,1,0,0,0,1,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,28,5,0
Liverpool,Home,7.1,2,1,1,1,3,0,0,0,1,1,0,7.1,3,0,0,1,0,2,0,2,1,1,0,Draw,28,10,1
Man city,Guest,7.1,3,0,0,1,0,2,0,2,1,1,0,7.1,2,1,1,1,3,0,0,0,1,1,0,Draw,28,12,0
Chelsea,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,3,0,0,0,1,1,0,Win,28,6,1
Newcatle,Guest,6.6,2,1,1,1,3,0,0,0,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,28,14,0
Burnley,Home,7.4,2,1,1,2,2,0,1,0,0,0,1,6.8,3,0,0,2,3,0,1,0,0,0,1,Win,29,5,1
Brentford,Guest,6.8,3,0,0,2,3,0,1,0,0,0,1,7.4,2,1,1,2,2,0,1,0,0,0,1,Lost,29,3,0
Luton,Home,6.7,3,0,0,1,2,2,1,0,0,0,1,7.1,2,1,1,1,0,1,0,2,1,1,0,Draw,29,11,1
Nottm forest,Guest,7.1,2,1,1,1,0,1,0,2,1,1,0,6.7,3,0,0,1,2,2,1,0,0,0,1,Draw,29,15,0
Fulham,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,29,9,1
Tottenham,Guest,6.4,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,29,17,0
West ham,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,2,2,0,1,0,0,0,1,Draw,29,18,1
Aston Villa,Guest,7.0,2,1,1,2,2,0,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,29,1,0
Arsenal,Home,7.6,2,1,1,1,3,0,0,0,1,1,0,5.6,2,1,1,1,0,1,0,2,1,1,0,Win,29,0,1
Chelsea,Guest,5.6,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,3,0,0,0,1,1,0,Lost,29,6,0
Wolves,Home,6.6,2,1,1,1,0,2,0,1,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,29,19,1
