Team,Status,Team rating,CB,LB,RB,ST,CM,AM,LM,DM,LW,RW,RM,Rival team rating,CBr,LBr,RBr,STr,CMr,AMr,LMr,DMr,LWr,RWr,RMr,Result,Round,Team_encoded,Status_encoded
Aston Villa,Home,7.3,2,1,1,2,2,0,1,0,0,0,1,5.7,2,1,1,2,2,0,1,0,0,0,1,Win,7,1,1
Brighton,Guest,5.7,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,2,2,0,1,0,0,0,1,Lost,7,4,0
Bournemouth,Home,6.3,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,7,2,1
Arsenal,Guest,7.5,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,7,0,0
Everton,Home,6.8,2,1,1,1,2,1,1,0,0,0,1,7.2,3,0,0,1,2,2,1,0,0,0,1,Lost,7,8,1
Luton,Guest,7.2,3,0,0,1,2,2,1,0,0,0,1,6.8,2,1,1,1,2,1,1,0,0,0,1,Win,7,11,0
Man utd,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,7,13,1
Crystal palace,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,7,7,0
Newcatle,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,7,14,1
Burnley,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,7,5,0
West ham,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,7,18,1
Sheffiled utd,Guest,6.3,3,0,0,2,3,0,1,0,0,0,1,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,7,16,0
